language	frequency
'bs'	0.000351
'fr'	0.013181
'it'	0.005185
'ar'	0.091740
'ht'	0.001494
'hr'	0.000176
'ml'	0.000176
'cy'	0.000439
'ru'	0.057909
'ja'	0.240334
'hi'	0.000967
'nl'	0.002724
'hu'	0.000264
'de'	0.003515
'th'	0.013181
'fa'	0.000351
'zh'	0.000703
'tl'	0.009490
'et'	0.001757
'tr'	0.022320
'ur'	0.000264
'no'	0.000703
'uk'	0.001757
'ko'	0.020826
'pl'	0.001230
'ne'	0.000264
'sl'	0.000703
'sr'	0.000176
'bg'	0.000791
'sk'	0.001054
'iw'	0.000439
'in'	0.043058
'ro'	0.000176
'fi'	0.001054
'lv'	0.000527
'da'	0.000615
'sv'	0.000967
'lt'	0.000439
'bn'	0.000264
'und'	0.042179
'es'	0.078998
'pt'	0.018014
'el'	0.001230
'vi'	0.000527
'en'	0.317487
